Constellation,Abbrev.,English name,R.A.,DEC.
Andromeda,And,Andromeda (Chained Lady),1,43
Antlia,Ant,Air Pump,10,-33
Apus,Aps,Bird of Paradise,16,-75
Aquarius,Aqr,Water Bearer,23,-13
Aquila ,Aql,Eagle,20,4
Ara,Ara,Altar,17,-52
Aries,Ari,Ram,2,19
Auriga ,Aur,Charioteer,6,42
Boötes ,Boo,Herdsman,15,34
Caelum,Cae,Chisel,5,-39
Camelopardalis,Cam,Giraffe,5,67
Cancer,Cnc,Crab,8,14
Canes Venatici,CVn,Hunting Dogs,13,43
Canis Major ,CMa,Large Dog,7,-23
Canis Minor ,CMi,Small Dog,7,25
Capricornus,Cap,(Sea) Goat,21,-21
Carina  ,Car,Keel,9,-62
Cassiopeia,Cas,Cassiopeia (Seated Lady),1,64
Centaurus ,Cen,Centaur,13,-44
Cepheus,Cep,Cepheus (the King),22,68
Cetus,Cet,Whale,1,-6
Chamaeleon,Cha,Chamaeleon,11,-78
Circinus,Cir,Pair of Compasses,15,-65
Columba,Col,Dove,5,-32
Coma Berenices,Com,Berenice's Hair,13,22
Corona Australis,CrA,Southern Crown,19,-40
Corona Borealis ,CrB,Northern Crown,16,31
Corvus,Crv,Crow,12,-14
Crater,Crt,Cup,11,-13
Crux ,Cru,Southern Cross,12,-61
Cygnus  ,Cyg,Swan,21,48
Delphinus,Del,Dolphin,21,18
Dorado,Dor,Dorado (a fish),5,-64
Draco  ,Dra,Dragon,17,61
Equuleus,Equ,Colt,21,8
Eridanus  ,Eri,Eridanus (a river),4,-18
Fornax,For,Furnace,3,-31
Gemini,Gem,Twins,7,18
Grus,Gru,Crane,22,-41
Hercules  ,Her,Hercules,18,22
Horologium,Hor,Clock,3,-53
Hydra ,Hya,Water Monster,10,-16
Hydrus,Hyi,Water Snake,3,-72
Indus,Ind,Indian,21,-54
Lacerta,Lac,Lizard,22,45
Leo,Leo,Lion,11,17
Leo Minor,LMi,Small Lion,10,35
Lepus,Lep,Hare,5,-23
Libra,Lib,Balance,15,-13
Lupus,Lup,Wolf,15,-36
Lynx,Lyn,Lynx,8,41
Lyra ,Lyr,Lyre,19,42
Mensa,Men,Table,6,-78
Microscopium,Mic,Microscope,21,-36
Monoceros,Mon,Unicorn,7,-8
Musca,Mus,Fly,13,-72
Norma,Nor,T-square,16,-52
Octans,Oct,Octant,20,-79
Ophiuchus,Oph,Serpent Holder,17,-7
Orion ,Ori,Orion (the Hunter),5,2
Pavo,Pav,Peacock,19,-64
Pegasus,Peg,Pegasus (Winged Horse),22,18
Perseus ,Per,Perseus (Rescuer of Andromeda),4,44
Phoenix,Phe,Phoenix,0,-52
Pictor,Pic,Painter's Easel,5,-49
Pisces,Psc,Fishes,1,12
Piscis Austinus,PsA,Southern Fish,22,-28
Puppis,Pup,Stern,7,-39
Pyxis,Pyx,Mariner's Compass,9,-32
Reticulum,Ret,Net,4,-64
Sagitta,Sge,Arrow,19,18
Sagittarius,Sgr,Archer,19,-32
Scorpius  or Scorpio,Sco,Scorpion,17,-32
Sculptor,Scl,Sculptor's Workshop,0,-32
Scutum,Sct,Shield,19,-11
Serpens—Caput,Ser,Serpent—Head,16,10
Serpens—Cauda,Ser,Serpent—Tail,18,-13
Sextans,Sex,Sextant,10,-5
Taurus,Tau,Bull,4,25
Telescopium,Tel,Telescope,19,-51
Triangulum,Tri,Triangle,2,32
Triangulum Australe,TrA,Southern Triangle,16,-65
Tucana,Tuc,Toucan,23,-63
Ursa Major ,UMa,Large Bear,10,48
Ursa Minor,UMi,Small Bear,15,73
Vela,Vel,Sails,9,-46
Virgo,Vir,Virgin,13,-3
Volans,Vol,Flying Fish,8,-69
Vulpecula,Vul,Little Fox,20,25
